Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1,ENG102: Introduction to Composition,3,9,,,,,
1,BIO103: Biology I,3,9,,,,,
1,CHE101: Chemistry I,3,9,,,,,
2,ENG103: Intermediate Composition,3,11,ENG102,,,,
2, MAT116 Precalculus,3,11,,,,,
2,Ben205: Bengali Language and Literature ,3,11,,,,,
2,CHE101L: Chemistry I Lab,1,11,,,,,
2,BIO103L: Biology I Lab,1,11,,,,,
3,CHE201: Biophysical Chemistry,3,13,CHE101,,,,
3,BIO201: Introduction to Biochemistry and Biotechnology,3,13,BIO103,,,,
3,BIO201L: Introduction to Biochemistry and Biotechnology Lab,1,13,BIO103L,,,,
3,MIS107: Computer Information Systems,3,13,,,,,
3,POL101/POL104: Political Science / Governance option,3,13,,,,,
3,ECO101/ECO104: Intro to Microeconomics / Intro to Macroeconomics,3,13,,,,,
3,SOC101/ENV203/GEO205/ANT101:Sociology/Geography/Anthropology option,3,13,,,,,
4,BUS172: Introduction to Statistics,3,10,,,,,
4,CHE202: Bio-Organic Chemistry,3,10,CHE101,,,,
4,CHE202L: Bio-Organic Chemistry Lab,1,10,CHE101L,,,,
4,HIS101/HIS103/PHI101: Bangladesh History and Culture/Emergence of Bangladesh/ Introduction to Philosophy,3,10,,,,,
5,BIO202: Basic Microbiology,3,13,BIO103,,,,
5,BBT221: Human Physiology,3,13,BIO201,,,,
5,CHE203: Chemistry of Biomolecules,3,13,BIO201,CHE202,,,
5,CHE203: Chemistry of Biomolecules,1,13,BIO201L,CHE202L,,,
5,BBT230: Biostatistics,3,13,BIO201,BUS172,,,
6,BBT312: Molecular Biology,3,12,CHE203,,,,
6,BBT312L: Molecular Biology Lab,1,12,CHE203L,,,,
6,BBT314: Protein and Enzyme Chemistry ,3,12,CHE201,CHE203,,,
6,BBT314L: Protein and Enzyme Chemistry Lab,1,12,CHE203L,,,,
6,BBT315: Metabolism,3,12,CHE203,,,,
6,BIO202L: Basic Microbiology Lab,1,12,BIO103,,,,
7,BBT316: Immunology,3,10,BBT221,BBT314,,,
7,BBT316L: Immunology Lab,1,10,BBT314L,,,,
7,BBT317: Molecular Genetics ,3,10,BBT312,,,,
7,BBT335: Integrated Metabolism,3,10,BBT315,,,,
8,BBT318: Cell Biology,3,10,BBT221,BBT312,BBT315,,
8,BBT413: Plant Biochemistry & Biotechnology,3,10,BBT312,BBT315,,,
8,BBT413L: Plant Biochemistry & Biotechnology Lab ,1,10,BBT313,,,,
8,BBT423: Nutritional Biochemistry,3,10,BBT335,,,,
9,BBT415: Molecular Biotechnology ,3,9,BBT317,,,,
9,BBT416: Bioinformatics,3,9,BBT230,BBT317,,,
9,BBT419: Clinical Biochemistry & Xenobiotics,3,9,BBT335,,,,
10,BBT415L: Molecular Biotechnology Lab,1,10,BBT312L,BBT314L,,,
10,BBT417: Endocrinology,3,10,BBT318,,,,
10,BBT418: Pharmaceutical Biotechnology,3,10,BBT415,,,,
10,BBT424: Virology & Oncology,3,10,BBT316,BBT318,,,
11,BBT421: Applied Immunology & Immunogenetics,3,9,BBT316,BBT317,,,
11,BBT425: Neurochemistry,3,9,BBT417,,,,
11,BBT427: Environmental Biotechnology,3,9,BBT415,,,,
12,BBT426: Chemistry of Natural Products,3,7,CHE203,BBT335,,,
12,BBT422: Research Methodology & Project,4,7,BBT335,BBT415,BBT416,,
