Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1,POL101/ POL104: Introduction to Political Science/ Introduction To Governance ,3,17,,,,,
1,PHR112: Statistics,3,17,,,,,
1,PHI101: Introduction To Philosophy/ Ethics,3,17,,,,,
1,BEN205: Bengali Language and Literature,3,17,,,,,
1,ENG102: Introduction To Composition,3,17,,,,,
1,HIS103: Emergence of Bangladesh ,3,17,,,,,
1,PHR110: Introduction to Pharmacy,2,17,,,,,
1,PHR113: Pharmacognosy,3,17,,,,,
1,MAT116: Pre-Calculus ,3,17,,,,,
1,SOC101/ANT101/GEO205: Introduction to Sociology/Introduction to Anthropology/ Introduction To Bangladesh Geography,3,17,,,,,
2,ENG103: Intermediate Composition,3,22,ENG102,,,,
2,MIS107: Information Systems & Computing,3,22,,,,,
2,PHR114/CHE101: Organic Pharmacy-I/General Chemistry,3,22,PHR110,,,,
2,PHR114L: Organic Pharmacy Lab-I,1,22,PHR110,,,,
2,PHR120: Inorganic Pharmacy,3,22,,,,,
2,PHR120L: Inorganic Pharmacy Lab,1,22,,,,,
2,PHR121: Human Physiology-I,3,22,PHR110,,,,
3,ECO101/ECO104: Introduction to Microeconomics/ Introduction To Macroeconomics,3,22,,,,,
3,ENG111: Public Speaking,3,22,,,,,
3,PHR123/CHE 201:Physical PharmacyI/Biophysical Chemistry,3,22,PHR110,,,,
3,PHR 124: Pharmaceutical Microbiology I,3,22,,,,,
3,PHR 124L: Pharmaceutical Microbiology Lab,1,22,PHR114L ,PHR120,,,
3,PHR211: Human Physiology-II,3,22,PHR121,,,,
3,PHR211L: Human Physiology Lab ,1,22,PHR121,,,,
3,PHR212: Pharmaceutical Technology-I,3,22,PHR110,PHR123,,,
3,PHR212L: Pharmaceutical Technology Lab-I,1,22,PHR114L ,PHR123,,,
3,PHR213/BIO 201: Biochemistry & Cell Biology/Introduction to Biochemistry & Biotechnology,3,22,PHR110,PHR121,,,
3,PHR224: Pharmaceutical Analysis-I,3,22,PHR114,PHR120,,,
3,PHR224L: Pharmaceutical Analysis-Lab-I,1,22,PHR114,PHR120,,,
3,PHR226: Pharmaceutical Dispensing,3,22,PHR 110,,,,
4,PHR122/CHE 202: Organic Pharmacy -II/Bioorganic Chemistry,3,22,PHR114,,,,
4,PHR122L: Organic Pharmacy Lab-II,1,22,PHR114,PHR 114L,,,
4,PHR210: Physical Pharmacy-II,3,22,PHR110 ,PHR123,,,
4,PHR210L: Physical Pharmacy-Lab,1,22,PHR123,,,,
4,PHR214: Pharmacology & Clinical Pharmacy-I,3,22,PHR 110,PHR121,,,
4,PHR215: Medicinal Chemistry-I,3,22,PHR114,,,,
4,PHR227: Human Anatomy,2,22,PHR110,,,,
4,PHR223: Pharmaceutical Microbiology II,3,22,PHR114,PHR124,,,
4,PHR223L: Pharmaceutical Microbiology Lab II,1,22,PHR120,,,,
5,PHR215L: Medicinal Chemistry Lab-I,1,22,PHR114,PHR114L,,,
5,PHR221: Pharmaceutical Technology-II,3,22,PHR123,PHR212,PHR210,,
5,PHR221L:  Pharmaceutical Technology Lab-II,1,22,PHR212,PHR212L,,,
5,PHR222: Medicinal Chemistry-II ,3,22,PHR122,PHR215,,,
5,PHR222L: Medicinal Chemistry Lab-II,1,22,PHR215,PHR215L,,,
5,PHR225: Basic Pathology & Toxicology,3,22,PHR121,,,,
5,PHR312: Pharmaceutical Analysis-II,3,22,PHR224,,,,
5,PHR312L: 1 Pharmaceutical Analysis-Lab-I,1,22,PHR224,PHR224L,,,
5,PHR325: Pharmaceutical Biotechnology- I,3,22,PHR124,PHR213,,,
6,PHR300: Viva Voce,1,22,PHR212 ,PHR221,,,
6,PHR310: Pharmaceutical Technlogy- III,3,22,PHR210,PHR212,PHR221,,
6,PHR310L: Pharmaceutical Technology Lab- III,1,22,PHR212L ,PHR221L,,,
6,PHR313: Pharmacology & Clinical Pharmacy-II,3,22,PHR211,PHR214,,,
6,PHR313L: Pharmacology Lab-I,1,22,PHR211L,PHR214,,,
6,PHR 314: Biopharmaceutics & Pharmacokinetics,3,22,PHR211,PHR214,,,
6,PHR 314L: Biopharmaceutics & Pharmacokinetics Lab,1,22,PHR313 ,PHR314,,,
6,PHR324: Pharmacology & Clinical Pharmacy-III,3,22,PHR214 ,PHR313,,,
6,PHR 326: Pharmacotherapy I,3,22,PHR211,PHR214,,,
6,PHR 327: Principles of Diagnosis & Monitoring,2,22,PHR211,PHR214,,,
7,PHR 322: Cosmetology ,2,22,PHR212,PHR221,,,
7,PHR 322L: Cosmetology Lab,1,22,PHR221L ,PHR310,,,
7,PHR411L: Pharmacology Lab-II,1,22,PHR313,PHR313L,,,
8,PHR400: Viva Voce,1,22,PHR310,PHR324,,,
8,PHR410: Advanced Pharmaceutical Analysis,3,22,PHR224,PHR312,,,
8,PHR411: Pharmacology & Clinical Pharmacy-IV,3,22,PHR313,PHR324,,,
8,PHR415: Pharmaceutical Technology-IV,3,22,PHR212,PHR221,PHR310,,
8,PHR 418: Pharmacotherapy II,3,22,PHR313 ,PHR326,,,
8,PHR 424: Molecular Diagnostics,2,22,PHR313 ,PHR327,,,
8,PHR 227: Pharmacotherapy III,3,22,PHR326,PHR418,,,
8,PHR 426: Clinical Pharmacokinetics,3,22,PHR313 ,PHR314,,,
8,Elecive Course,3,22,,,,,
8,Elective Course,3,22,,,,,
9,PHR 510: Functional Foods & Nutraceuticals,2,22,PHR324,PHR415,,,
9,PHR 511: Pharmacotherapy IV,3,22,PHR418,PHR427,,,
9,PHR 512: Pharmaceutical Engineering,3,22,PHR310,PHR415,,,
9,Open Elective Course,3,22,,,,,
9,Open Elective Course,3,22,,,,,
9,Open Elective Course,3,22,,,,,
9,Elective Course,3,22,,,,,
9,PHR 521: Industrial Internship,2,22,PHR414,PHR415,,,
10,PHR 500: VIVA Voce,1,22,PHR400,PHR415,,,
10,PHR 520: Project,3,22,PHR221L,PHR312L,,,
10,PHR 513: Drug Information,2,22,PHR324,PHR418,,,
10,PHR 522: Advanced Pharmacy Practice Expenrienes,3,22,PHR324,PHR428,,,
,,199,,,,,,
