Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1,BUS112: Elementary Mathematics ,3,12,,,,,
1,MIS107: Computer Information System ,3,12,,,,,
1,ECO101: Introduction to Microeconomics,3,12,,,,,
1,ENG102: Introduction to Composition ,3,12,,,,,
2,GED 1,3,9,,,,,
2,MAT125: Introduction to Linear Algebra,3,9,MAT116,,,,
2,ECO172: Introduction to Statistics,3,9,,,,,
3,ECO104: Introduction to Macroeconomics,3,9,,,,,
3,ENG103: Intermediate Composition,3,9,ENG102 (if not waived),,,,
3,GED 2,3,9,,,,,
4,ECO135: Applied Mathematics for Economics I,3,10,ECO101,,,,
4,ECO173: Applied Statistics,3,10,ECO172,,,,
4,Science with Lab 1(GED 3) ,4,10,,,,,
5,ENG105: Advanced Composition,3,9,ENG103,,,,
5,GED 3,3,9,,,,,
5,GED 4,3,9,,,,,
6,Science with Lab 2 (Natural Science Option),4,10,,,,,
6,GED 5 ,3,10,,,,,
6,ECO201: Intermediate Microeconomic Theory I,3,10,ECO101,ECO134,,,
7,ECO245: Applied Mathematics for Economics II,3,9,ECO101,ECO104,ECO134,,
7,BUS251: Business Communication,3,9,ENG105,,,,
7,Open Elective 1,3,9,,,,,
8,Economics Elective 1,3,12,,,,,
8,ECO372: Introduction to Econometrics,3,12,ECO173,ECO134,,,
8,ECO204: Intermediate Macroeconomic Theory I,3,12,ECO101,ECO104,,,
8,Open Elective 2,3,12,,,,,
9,GED 5 ,3,13,,,,,
9,Science with Lab 3 (Natural Science Option),4,13,,,,,
9,Open Elective 3,3,13,,,,,
9,Open Elective 4,3,13,,,,,
10,Economics Elective 2,3,12,,,,,
10,ECO301: Intermediate Microeconomic Theory II,3,12,ECO201,ECO134,,,
10,Open Elective 5,3,12,,,,,
10,Open Elective 6,3,12,,,,,
11,Open Elective 7,3,12,,,,,
11,Open Elective 8,3,12,,,,,
11,Economics Elective 3,3,12,,,,,
11,Open Elective 9,3,12,,,,,
12,ECO304: Intermediate Macroeconomic Theory II,3,12,ECO204,ECO134,,,
12,Economics Elective 4,3,12,,,,,
12,ECO490: Senior Seminar (Capstone),3,12,ECO372,,,,≥24 credits from Economics major + ≥90 overall credits
