Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1st,ENG102: Introduction to composition,3,9,,,,,
1st,BUS112: Elementary Mathematics,3,9,,,,,
1st,ACT201: Introduction to Financial Accounting,3,9,,,,,
2nd,ENG103: Intermediate composition,3,12,ECO 101,,,,
2nd,BUS135: Applied Business Mathematics,3,12,BUS112,,,,
2nd,ACT202: Introduction to Managerial Accounting,3,12,ACT201,,,,
2nd,MIS107: Information System & Computing,3,12,,,,,
3rd,ECO101: Introduction to Microeconomics,3,12,,,,,
3rd,ENG105: Advanced composition,3,12,,,,,
3rd,FIN254: Introduction to Financial Management,3,12,ACT201 ,BUS172,,,
3rd,Science 1+Lab,3,12,,,,,
4th,BUS251:  Business Communication,3,12,ENG 105,,,,
4th,LAW200: Legal Envrironment of Business,3,12,,,,,
4th,BEN205/ENG115/CHN101:  Bengali Literature/Literature/Introduction to Chinese Language and Culture,3,12,,,,,
4th,ECO104: Introduction to Macroeconomics,3,12,,,,,
5th,ECO201:  Intermediate Microeconomic Theory I,3,12,ECO101,BUS135,,,
5th,MGT212: Organizational Management ,3,12,ENG102,,,,
5th,BUS172: Introduction to Statistics,3,12,,,,,
5th,Science 2+Lab,3,12,,,,,
6th,ECO204: Intermediate Macroeconomic Theory I ,3,12,ECO104,BUS135,,,
6th ,MKT202: Introduction to Marketing,3,12,,,,,
6th,BUS173: Applied Statistics,3,12,BUS172,,,,
6th,MIS207: E-Business,3,12,,,,,
7th,ECO328: International Economics ,3,12,ECO101,ECO104,,,
7th,Science 3+Lab,3,12,,,,,
7th,Social Science 1,3,12,,,,,
7th,Humanities 1,3,12,,,,,
8th,Social Science 2,3,12,,,,,
8th,Major Elective 1,3,12,,,,,
8th,INB372: International Business,3,12,,,,,
8th,ECO348: Economy of Bangladesh,3,12,ECO328,,,,
9th,Major Elective 2,3,12,,,,,
9th,Open Elective 1,3,12,,,,,
9th,MGT314: Production Management  ,3,12,BUS 172,MKT 202,MGT 210/ 212,BUS 135,
9th,Humanities 2,3,12,,,,,
10th,Lab Substitution,3,12,,,,,
10th,MGT351: Human Resource Management,3,12,MGT212,,,,
10th,MGT368: Entrepreneurship,3,12,MGT212,,,,
11th,PHI401: Business Ethics,3,12,,,,,80
11th,MGT489: Strategic Management,3,12,,,,,
11th,Open Elective 3,3,12,,,,,
12th,BUS498: Internship,4,4,,,,,100
