Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1st,ENG102: Introduction  to Composition,3,8,,,,,
1st,MAT116: Pre-Calculus,0,8,,,,,
1st,EEE141+CL: Electrical Circuits 1,4,8,,,,,
1st,EEE154 (CEE110): Engineering Drawing,1,8,,,,,
2nd,ENG103: Intermediate Composition,3,13,ENG102,,,,
2nd,MAT120: Calculus I,3,13,MAT116,,,,
2nd,MAT125:  Linear Algebra,3,13,MAT116,,,,
2nd,EEE241+CL: Electrical Circuits II,4,13,EEE141,,,,
3rd,ENG111: Public Speaking,3,14,,,,,
3rd,MAT130: Calculus II,3,14,MAT120,,,,
3rd,PHY107+CL: Physics I,4,14,MAT120,,,,
3rd,CSE115+CL: Programming Language I,4,14,MAT116,,,,
4th,PHI104: Introduction to Ethics,3,14,,,,,
4th,MAT250: Calculus II,3,14,MAT130,,,,
4th,PHY108+CL: Physics II,4,14,MAT130,PHY107,,,
4th,EEE111+CL:  Analog Electronics I,4,14,EEE141,,,,
4th,BEN205: Bengali Language & Literature,3,13,ENG103,,,,
5th,MAT350: Engineering Mathematics,3,13,MAT250,,,,
5th,EEE211+IL: Digital Logic Design,3,13,EEE111,,,,
5th,EEE311+CL: Analog Electronics II,4,13,EEE111,,,,
6th,HIS101:  Bangladesh Culture and Heritage,3,7,,,,,
6th,MAT361: Probability and Statistics,3,7,MAT250,,,,
6th,EEE299: Junior Design,1,7,,,,,60
7th,HIS102: Introduction  to World Civilization,3,13,,,,,
7th,CHE101+CL: Chemistry 1,4,13,,,,,
7th,EEE221: Signals and Systems,3,13,MAT350,CSE115,,,
7th,EEE361: Electromagnetic Fields and Waves,3,13,PHY108,MAT350,,,
8th,POL101/POL104: Introduction  to Political Science/Governance,3,11,,,,,
8th,EEE342+CL: Control Engineering                              ,4,11,EEE221,MAT125,,,
8th,EEE363+CL: Electrical  Machines,4,11,EEE241,EEE111,,,
9th,ECO101/ECO104: Introduction to Microeconomics/ Macroeconomics,3,13,,,,,
9th,BIO103+CL: Biology I,4,13,,,,,
9th,EEE312+IL: Power Electronics,3,13,EEE311,,,,
9th,EEE362+IL: Power Systems,3,13,EEE363,,,,
10th,SOC101/ANT101/ENV203(GEO205): Introciuction  to Sociology/ Anthropology/ Bangladesh Geography,3,9,,,,,
10th,EEE321+IL: Introduction to Communications Systems,3,9,,,,,
10th,EEE452: Engineering Economics,3,9,EEE221,MAT361,,,
10th,EEE498R:  Internship/Co-op/Directed Research,0,9,,,,,80
11th,ELECT1,3,7.5,,,,,
11th,ELECT2,3,7.5,,,,,
11th,EEE499A: Senior Design I,1.5,7.5,,,,,100
12th,ELECT3,3,7.5,,,,,
12th,OPEN ELECT,3,7.5,,,,,
12th,EEE499B: Senior Design II,1.5,7.5,EEE499A,,,,
