Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1,ENG102: Introduction to Composition,3,9,,,,,
1,HIS101: Bangladesh History and Culture,3,9,,,,,
1,MIS107: Information System and Computing,3,9,,,,,
2,ENG103: Intermediate Composition,3,9,ENG102,,,,
2,SOC101/ENV203/GEO205/ANT101: Sociology/Geography/Anthropology option,3,9,,,,,
2,MAT112/MAT116: College Algebra / Pre-calculus,3,9,,,,,
3,ENG111: Public Speaking,3,12,ENG103,,,,
3,POL101/POL104: Political Science / Governance option,3,12,,,,,
3,ECO101/ECO104: Intro to Microeconomics / Intro to Macroeconomics,3,12,,,,,
3,BEN205: Bangla Language and Literature,3,12,,,,,
4,ENG115: Literature,3,12,ENG103,,,,
4,PHI101/PHI104: Philosophy / Ethics option,3,12,,,,,
4,BUS172: Introduction to Statistics (Statistics I),3,12,,,,,
4,CHN/FRC/SPA/ARB101: Foreign Language (Introductory),3,12,,,,,
5,ENG220 / ENG230: Introduction to Fiction / Introduction to Poetry,3,10,ENG115,,,,
5,HIS102: Introduction to World Civilization,3,10,,,,,
5,PSY101 / ENV107 / PBH101 / CHE101 / PHY107L / BIO103 Science + Lab option,4,10,,,,,
6,ENG210 / ENG260: Introduction to Linguistics / Literary Theory,3,12,ENG111 (for ENG210); ENG210 & ENG220 (for ENG260),,,,
6,ENG216: Research Methodology for Humanities,3,12,ENG103,ENG111,,,
6,CHN/FRC/SPA/ARB201 or 301: Foreign Language (Intermediate/Advanced),3,12,CHN/FRC/SPA/ARB101,,,,
6,POL201 / POL300 / LAW206 / WMS201 / POL210: Politics/Legal/Gender/Human Rights options,3,12,POL101 (for POL201); ENG103 (for LAW206),,,,
7,PSY101 / ENV107 / PBH101 / CHE101 / PHY107L / BIO103: Science/Lab option (4-credit),4,10,,,,,
7,ARC131: Sources in Architecture / Music / Art / Design,3,10,,,,,
7,HIS103: Emergence of Bangladesh,3,10,,,,,
8,ENG338 / ENG302 / ENG361: Elizabethan & Jacobean Drama / Phonetics & Phonology / Intro to Applied Linguistics,3,12,ENG220 (for ENG338); ENG210 (for ENG302 & ENG361),,,,
8,INT101 / POL300 / LAW206 / WMS201 / POL210: International Relations / Governance / Law / Gender / Human Rights options,3,12,ENG103 (for LAW206); POL101 (for POL300),,,,
8,LBA104: Introduction to Dramatics,3,12,,,,,
8,ECO406 - History of Economic Thought,3,12,ECO101,,,,
9,ENG336 / ENG307 / ENG366 - 17th Century Poetry & Prose / Semantics & Pragmatics / Theories of SLA,3,10,ENG230 (for ENG336); ENG210 (for ENG307 & ENG366),,,,
9,LAW410 / ECO203 / ANT203 / SOC201 / PAD301 / TNM201 - Comparative Legal Systems / Microeconomics / Anthropology II / Sociology II / Public Admin / Media & Communication,3,10,LAW206 (for LAW410); ECO101 (for ECO203); SOC101 (for SOC201),,,,
9,PSY101 / ENV107 / PBH101 / CHE101 / PHY107L / BIO103 - Science/Lab option (4-credit),4,10,,,,,
10,ENG341 / ENG312 / ENG371 - The Rise & Growth of the Novel / Morphology & Syntax / Syllabus Design & Material Development,3,9,ENG220 (for ENG341); ENG210 (for ENG312 & ENG371),,,,
10,ENG4xx - Elective from own concentration,3,9,,,,,
10,ETH201 - Ethical Theory,3,9,POL101,,,,
11,ENG346 / ENG334 / ENG377 - 19th Century Prose & Fiction / Sociolinguistics / Testing & Evaluation,3,9,ENG230 (for ENG346); ENG210 (for ENG334 & ENG377),,,,
11,ENG4xx - Elective from own concentration,3,9,,,,,
11,Free Elective - Any university-wide course,3,9,,,,,
12,ENG351 / ENG337 / ENG381 - Modernism / Psycholinguistics / Teaching Techniques & Practicum,3,9,ENG220 (for ENG351); ENG210 (for ENG337 & ENG381),,,,
12,ENG4xx: Elective from own concentration,3,9,,,,,
12,Free Elective - Any university-wide course,3,9,,,,,
