Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1,BUS112: Fundamentals of Algebra,3,12,,,,,
1,ENG102: Introduction To Composition ,3,12,,,,,
1,MIS107: Computer Information System ,3,12,,,,,
1,ENV107: Introduction To Environmental Science,3,12,,,,,
1,ENV107L,1,12,,,,,
1,CHE101: General Chemistry,3,12,,,,,
2,MAT120: Calculus I,3,13,BUS112,,,,
2,ENG103: Intermediate Composition (Counts as GED),3,13,ENG102,,,,
2,ECO103: Introduction to Economics,3,13,,,,,
2,ENV172: Introduction To Statistics,3,13,,,,,
2,ENV102: Environmental Biology,3,13,,,,,
2,ENV203: Introduction To Geography,3,13,,,,,
3,ENG105: Advanced Composition (Counts as GED),3,13,ENG102,ENG103,,,
3,ENV204: Soil Science ,3,13,,,,,
3,ENV207: Environment and Health ,3,13,ENV107,,,,
3,ENV209: Environmental Chemistry ,3,13,CHE101,,,,
3,GED3 (any),3,13,,,,,
3,ENV215: Ecology,3,13,ENV107L,,,,
4,GED 4 (any),3,13,,,,,
4,ENV208: Environmental Hazards & Disaster Management,3,13,,,,,
4,ENV214: Environmental Management,3,13,,,,,
4,ENV311: Geology & Geomorphology,3,13,,,,,
4,ENV260: Introduction To Environmental & Natural Resource Economics ,3,13,ECO103,,,,
4,Science Elective Course 1,3,13,,,,,
5,ENV205: Climate Change,3,13,,,,,
5,ENV307: Urban Environmental Management,3,13,,,,,
5,ENV315: Environmental Ethics,3,13,,,,,
5,ENV316: Geographical Information Systems,3,13,,,,,
5,ENV373: Environmental Impact  Assessment & Monitoring ,3,13,,,,,
5,Science Elective Course 2,,,,,,,
6,"ENV405: Population, Poverty & Environment",3,13,,,,,
6,ENV408: Environmental Pollution Control,3,13,,,,,
6,ENV410: Integrated Water Resource Planning & Management ,3,13,,,,,
6,ENV414: Waste Management,3,17,,,,,
6,ENV425: Ecological Economics,3,17,ENV107,ENV172,ENV260,,
6,Science Elective Course 3 ,3,17,,,,,
7,"ENV409: Environmental Policy, Planning & Politics",3,17,,,,,
7,ENV418: Conservation & Sustainable Development,3,17,,,,,
7,ENV455: Research Methods,3,17,,,,,
7,ENV430: Environmental Laws and Regulations,3,17,,,,,
7,Open Elective Course 1,3,17,,,,,
7,Science Elective Course 4,,,,,,,
8,ENV419: Forest Management,3,17,,,,,
8,ENV498: Internship,3,17,,,,,
8,Open Elective Course 2,3,17,,,,,
8,Science Elective Course 5,3,17,,,,,
