Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1st,ENG102: Introduction to Composition,3,8,,,,,
1st,MAT116: Pre-Calculus,0,8,,,,,
1st,ETE141+CL: Electrical Circuits I,4,8,,,,,
1st,EEE154 (CEE110): Engineering Drawing,1,8,,,,,
2nd,ENG103: Intermediate Composition,3,13,ENG102,,,,
2nd,MAT120: Calculus I,3,13,MAT116,,,,
2nd,MAT125:  Linear Algebra,3,13,MAT116,,,,
2nd,ETE241+CL: Electrical Circuits II,4,13,ETE141,,,,
3rd,ENG111: Public Speaking,3,14,,,,,
3rd,MAT130: Calculus II,3,14,MAT120,,,,
3rd,PHY107+CL: Physics I,4,14,MAT120,,,,
3rd,CSE115+CL: Programming Language I,4,14,MAT116,,,,
4th,PHI104: Introduction to Ethics,3,14,,,,,
4th,MAT250:Calculus  Ill,3,14,MAT130,,,,
4th,PHY108+CL:Physics II,4,14,MAT130,PHY107,,,
4th,ETE111+CL: Analog Electronics I,4,14,ETE141,,,,
5th,BEN205: Bengali Lanruage & Literature,3,13,ENG103,,,,
5th,MAT350: Engineering Mathematics,3,13,MAT250,,,,
5th,EEE211+IL: Digital Logic Design,3,13,ETE111,,,,
5th,EEE311+CL: Analog Electronics II,4,13,ETE111,,,,
6th,HIS102: Introduction to World Civilization,3,7,,,,,
6th,MAT361: Probabilitv and Statistics,3,7,MAT250,,,,
6th,ETE299: Junior Design,1,7,,,,,60
7th,HIS103: Emergence of Bangladesh,3,13,,,,,
7th,CHE101+CL: Chemistry I,4,13,,,,,
7th,ETE221: Signals and Systems,3,13,MAT350,CSE115,,,
7th,ETE361: Electromagnetic Fields and Waves,3,13,PHY108,MAT350,,,
8th,POL101/POL104: Introduction to Political Science/ Governance,3,9,,,,,
8th,ETE321+IL:Introduction to Communications System,3,9,ETE221,MAT361,,,
8th,ETE331+I L:Data Communications and Networks,3,9,ETE221,,,,
9th,ECO101/ECO104: Introduction to Microeconomics/Macroeconomics,3,11,,,,,
9th,BIO103+CL: Biology I,4,11,,,,,
9th,ETE426+CL: Fiber Optics Communication System,4,11,ETE361,ETE321,,,
10th,SOC101/ANT101/ENV203(GEO205): Introciuction  to Sociology/ Anthropology/ Bangladesh Geography,3,13,,,,,
10th,EEE452: Engineering Economics,3,13,,,,,
10th,ETE424+CL: Mobile and Wireless Communications System,4,13,ETE321,,,,
10th,ETE471+IL:Digital Signal Processing,3,13,ETE221,,,,
10th,ETE498R:  Internship/Co-op/Directed Research,0,13,,,,,80
11th,ELECT1,3,7.5,,,,,
11th,ELECT2,3,7.5,,,,,
11th,ETE499A: Senior Design A,1.5,7.5,,,,,100
12th,ELECT3,3,7.5,,,,,
12th,OPEN ELECT,3,7.5,,,,,
12th,ETE499B: Senior Design B,1.5,7.5,ETE499A,,,,
