Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1st,ENG102: Introduction to composition,3,9,,,,,
1st,MIS105: Information Systems and Computer,3,9,,,,,
1st,MAT112: Elementary Mathematics,3,9,,,,,
2nd,ENG103: Intermediate Composition,3,12,ENG102,,,,
2nd,ECO134: Applied Mathematics for Economics I,3,12,ECO101,MAT112,,,
2nd,History course,3,12,,,,,
2nd,POL101/POL104: Introduction  to Political Science/Governance,3,12,,,,,
3rd,ENG111: Public Speaking,3,12,,,,,
3rd,STA172: Introduction to Statistics,3,12,,,,,
3rd,Science course,3,12,,,,,
3rd,SOC101: Introciuction  to Sociology,3,12,,,,,
4th,BUS251: Business Communication,3,12,ENG105,,,,
4th,MIS205: E-Business,3,12,,,,,
4th,ECO101: Introduction to Microeconomics,3,12,,,,,
4th,ECO173:  Applied Statistics for Economics,3,12,STA172,,,,
5th,ECO104: Introduction to Microeconomics,3,12,ECO101,,,,
5th,ENG115: Literature,3,12,,,,,
5th,ACT201: Introduction to Financial Accounting,3,12,,,,,
5th,MGT210: Organisational Management,3,12,,,,,
6th,ACT202:  Introduction to Managerial Accounting ,3,12,ACT201,,,,
6th,FIN254: Introduction to Financial Management,3,12,ACT201,BUS172,,,
6th,MKT202: Introduction to Marketing,3,12,,,,,
6th,LAW200: Legal Envrironment of Business,3,12,,,,,
7th,MGT351: Human Resource Management,3,12,MGT210,,,,
7th,INB372:  International Business,3,12,MKT202,,,,
7th,ETR310: New Venture Creation and Management,3,12,,,,,
7th,Science course 2,3,12,,,,,
8th,MGT368: Entrepreneurship,3,12,BUS135,BUS172,MKT202,MGT210,
8th,ETR320: Entrepreneurial Marketing,3,12,,,,,
8th,Science course 3,3,12,,,,,
8th,Free Elective 1,3,12,,,,,
9th,ETR440: Entrepreneurial Finance and VC,3,9,,,,,
9th,Entrepreneurship Elective 1,3,9,,,,,
9th,Free Elective 2,3,9,,,,,
10th,MGT314:Introduction to Operations and Supply Chain Management,3,9,BUS135,BUS172,MKT202,MGT210,
10th,ETR450: International Entrepreneurship,3,9,,,,,
10th,Entrepreneurship Elective 2 ,3,9,,,,,
11th,MGT489: Strategic Management,3,6,,,,,100
11th,Free Elective 3,3,6,,,,,
12th,BUS498: (Internship),3,4,,,,,100
