Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1st,ENG102: Introduction to composition,3,9,,,,,
1st,MAT112: Elementary Mathematics,3,9,,,,,
1st,BUS101: Introduction to Business,3,9,,,,,
2nd,ACT201: Introduction to Financial Accounting,3,12,,,,,
2nd,MIS105: Introduction to Computers,3,12,,,,,
2nd,MGT210: Organisational Management,3,12,,,,,
2nd,ENG103: Intermediate Composition,3,12,ENG102,,,,
3rd,MKT202: Introduction to Marketing,3,12,,,,,
3rd,ECO101: Introduction to Microeconomics,3,12,,,,,
3rd,ACT202: Introduction to Managerial Accounting,3,12,ACT201,,,,
3rd,GED 2,3,12,,,,,
4th,BUS172: Introduction to Statistics,3,12,,,,,
4th,ECO104: Introduction to Microeconomics,3,12,ECO101,,,,
4th,MIS205: E-Business,3,12,,,,,
4th,GED3,3,12,,,,,
5th,BUS173: Applied Statistics,3,9,BUS172,,,,
5th,ENG105: Advanced Composition,3,9,ENG103,,,,
5th,MGT351: Human Resource Management,3,9,MGT210,,,,
6th,BUS135: Applied Mathematics I,3,12,BUS112,,,,
6th,MGT372: International Business,3,12,MKT202,,,,
6th,LAW200: Legal Envrironment of Business,3,12,,,,,
6th,FIN254: Introduction to Financial Management,3,12,ACT201,BUS172,,,
7th,BUS251:  Business Communication,3,12,ENG105,,,,
7th,BUS244: Applied Mathematics II,3,12,ECO101,ECO104,BUS135,,
7th,Major Elective 1,3,12,,,,,
7th,Open Elective 1,3,12,,,,,
8th,MGT314: Operations and Supply Chain Management,3,12,BUS135,BUS172,MKT202,MGT210,
8th,Open Elective 2,3,12,,,,,
8th,Major Course 2,3,12,,,,,
8th,GED 5,3,12,,,,,
9th,Major Course 3,3,12,,,,,
9th,MGT368: Entrepreneurship,3,12,BUS135,BUS172,MKT202,MGT210,
9th,Open Elective 3,3,12,,,,,
9th,GED 6,3,12,,,,,
10th,BUS401: Business Ethics,3,12,,,,,80
10th,Major Course 4,3,12,,,,,
10th,Open Elective 4,3,12,,,,,
10th,Open Elective 5,3,12,,,,,
11th,MGT489: Strategic Management,3,9,,,,,100
11th,Major Course 5,3,9,,,,,
11th,Major Course 6,3,9,,,,,
12th,BUS498: (Internship),4,4,,,,,100
