Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1,ENG102: Introduction to Composition,3,9,,,,,
1,BIO103: Biology I,3,9,,,,,
1,CHE101: Chemistry I,3,9,,,,,
2,ENG103: Intermediate Composition,3,11,ENG102,,,,
2, MAT116 Precalculus,3,11,,,,,
2,Ben205: Bengali Language and Literature ,3,11,,,,,
2,CHE101L: Chemistry I Lab,1,11,,,,,
2,BIO103L: Biology I Lab,1,11,,,,,
3,CHE201: Biophysical Chemistry,3,13,CHE101,,,,
3,BIO201: Introduction to Biochemistry and Biotechnology,3,13,BIO103,,,,
3,BIO201L: Introduction to Biochemistry and Biotechnology Lab,1,13,BIO103L,,,,
3,MIS107: Computer Information Systems,3,13,,,,,
3,POL101/POL104 (Political Science / Governance option),3,13,,,,,
3,ECO101/ECO104 (Intro to Microeconomics / Intro to Macroeconomics),3,13,,,,,
3,SOC101/ENV203/GEO205/ANT101 (Sociology/Geography/Anthropology option),3,13,,,,,
4,MIC201: Microbial Ecology,3,11,BIO103,,,,
4,MIC202: Basic techniques in Microbiology,3,11,BIO103,,,,
4,BIO202L: Basic Microbiology Lab,1,11,BIO103L,,,,
4,CHE202: Bio-Organic Chemistry,3,11,CHE101,,,,
5,MIC203: Chemistry of Microorganisms:,3,10,BIO201,BIO202,,,
5,MIC 307: Microbial Genetics ,3,10,BIO201,MIC202,,,
5,CHE203L: Chemistry of Biomolecules Lab,1,10,BIO201L,CHE202L,,,
5,BUS172: Introduction to Statistics,3,10,,,,,
6,MIC309: Enzymology,3,12,MIC203,,,,
6,MIC314: Environmental Microbiology and Bioremediation,3,12,BIO202,MIC201,,,
6,MIC 315: Infectious Diseases & Diagnostic Mircrobiology,3,12,MIC202,MIC203,,,
6,BBT230: Biostatistics,3,12,BIO201,BUS172,,,
7,MIC 207: Bacterial Physiology and Metabolism,3,10,CHE202,MIC203,MIC309,,
7,MIC316: Molecular Biology,3,10,MIC307,,,,
7,MIC318: Agricultural Microbiology and Plant pathology,3,10,MIC201,MIC203,,,
7,MIC315L: Infectious Diseases & Diagnostic Mircrobiology Lab,3,10,BIO202L,MIC203L,,,
8,MIC206: Microbial Taxonomy,3,10,MIC316,,,,
8,MIC311: Bioinformatics,3,10,MIC316,,,,
8,MIC317: Immunology,3,10,MIC307,MIC315,,,
8,MIC316L: Molecular Biology Lab,1,10,BIO201L,MIC316,,,
9,MIC401: Microbial Biotechnology,3,10,MIC316,MIC317,,,
9,MIC412: Bacterial Pathogenesis,3,10,MIC315,MIC316,,,
9,MIC413: Virology,3,10,MIC316 ,MIC317,,,
9,MIC317L: Immunology Lab,1,10,BIO202L,MIC317,,,
10,MIC414: Food Microbiology & Quality Control,3,10,MIC401,,,,
10,MIC415: Mycology,3,10,MIC314,,,,
10,HIS101/HIS103/PHI101: Bangladesh History and Culture/Emergence of Bangladesh/ Introduction to Philosophy,3,10,,,,,
10,MIC413L: Virology Lab,1,10,BIO202L,MIC413,,,
11,MIC404: Pharmaceutical Microbiology,3,10,MIC401,,,,
11,MIC416: Cell Biology,3,10,,,,,
11,MIC414L: Food Microbiology & Quality Control Lab,1,10,BIO2O2L,MIC414,,,
11,MIC415L: Mycology Lab,1,10,BIO202L,MIC415,,,
12,Open Elective,3,7,,,,,
12,MIC498: Research Methodology and Project,4,7,BIO201L,BIO202L,"MIC315L, ",MIC316L,
