Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,Prerequisite4,CreditReq
1,ENG102: Introduction to Composition ,3,20,,,,,
1,MAT112/BUS112: Fundamentals of Algebra,3,20,,,,,
1,MIS107: Computer Information System ,3,20,,,,,
2,GED 1,3,20,,,,,
2,GED 2,3,20,,,,,
2,ECO101: Introduction to Microeconomics,3,20,,,,,
2,ENG103: Intermediate Composition,3,20,,,,,
3,BUS172: Introduction to Statistics ,3,20,,,,,
3,ECO104: Introduction to Macroeconomics ,3,20,ECO101,,,,
3,GED 3,3,20,,,,,
3,ENG105: Advanced Composition ,3,20,ENG102,ENG103,,,
4,ACT201: Introduction to Financial Accounting,3,20,,,,,
4,GED 4  ,3,20,,,,,
4,BUS173: Applied Statistics ,3,20,BUS172,,,,
4,MKT202: Introduction to Marketing,3,20,,,,,
5,ACT202: Introduction to Managerial Accounting ,3,20,ACT201,,,,
5,FIN254: Introduction to Financial Management  ,3,20,BUS172,ACT201,,,
5,MGT212: Organizational Management,3,20,,,,,
5,GED 5,4,20,,,,,
6,BUS251: Business Communication ,3,20,ENG105,,,,
6,BUS135: Applied Business Mathematics I ,3,20,MAT112,BUS112,,,
6,MGT372: International Business  ,3,20,MKT202,,,,
6,GED 6,4,20,,,,,
7,MIS210: Concepts of Computer Programming,3,20,MIS207,,,,
7,MGT314: Production Management  ,3,20,BUS172,MKT202,MGT210/212,BUS135,
7,MIS207: E- Business,3,20,,,,,
7,GED 7,4,20,,,,,
8,MIS310: Database Systems for Business,3,20,MIS207,,,,
8,Open Elective 1,3,20,,,,,
8,LAW200: Legal Environment of Business  ,3,20,,,,,
8,MGT351: Human Resource Management   ,3,20,MGT212,MGT210,,,
9,MIS320: Digital Enterprise Management,3,20,MIS207,,,,
9,Open elective 2 ,3,20,,,,,
9,MGT368: Entrepreneurship  ,3,20,MGT210,MGT212,,,
9,GED 8,3,20,,,,,
10,MIS470: Systems Analysis and Design,3,20,MIS310,,,,
10,Major Elective 1   ,3,20,,,,,
10,Open Elective 3,3,20,,,,,
10,GED 9,3,20,,,,,
11,Major Elective 2 ,3,20,,,,,
11,GED 10,3,20,,,,,
11,MGT489: Strategic Management,3,20,,,,,100
12,BUS498: Internship,4,20,,,,,
,,133,,,,,,
