Semester,Course,Credits,Credits/Sem,Prerequisite1,Prerequisite2,Prerequisite3,CreditReq
1,BUS 112: Fundamentals of Algebra,3,12,,,,
1,ENG 102: Introduction To Composition ,3,12,,,,
1,MIS107: Computer Information System ,3,12,,,,
1,ENV107: Introduction To Environmental Science,3,12,,,,
1,ENV107L,1,12,,,,
1,CHE101: General Chemistry,3,12,,,,
2,MAT 120: Calculus I,3,13,BUS 112,,,
2,ENG103: Intermediate Composition (Counts as GED),3,13,ENG 102,,,
2,ECO 103: Introduction to Economics,3,13,,,,
2,ENV172: Introduction To Statistics,3,13,,,,
2,ENV102: Environmental Biology,3,13,,,,
2,ENV 203: Introduction To Geography,3,13,,,,
3,ENG105: Advanced Composition (Counts as GED),3,13,ENG 102,ENG 103,,
3,ENV 204: Soil Science ,3,13,,,,
3,ENV 207: Environment and Health ,3,13,ENV 107,,,
3,ENV 209: Environmental Chemistry ,3,13,CHE 101,,,
3,GED 3 (any),3,13,,,,
3,ENV 215: Ecology,3,13,ENV 107 L,,,
4,GED 4 (any),3,13,,,,
4,ENV 208: Environmental Hazards & Disaster Management,3,13,,,,
4,ENV 214: Environmental Management,3,13,,,,
4,ENV 311: Geology & Geomorphology,3,13,,,,
4,ENV 260: Introduction To Environmental & Natural Resource Economics ,3,13,ECO 103,,,
4,Science Elective Course 1,3,13,,,,
5,ENV 205: Climate Change,3,13,,,,
5,ENV 307: Urban Environmental Management,3,13,,,,
5,Env315: Environmental Ethics,3,13,,,,
5,Env316: Geographical Information Systems,3,13,,,,
5,EN 373: Environmental Impact  Assessment & Monitoring ,3,13,,,,
5,Science Elective Course 2,,,,,,
6,"ENV 405: Population, Poverty & Environment",3,13,,,,
6,ENV 408: Environmental Pollution Control,3,13,,,,
6,ENV 410: Integrated Water Resource Planning & Management ,3,13,,,,
6,ENV 414: Waste Management,3,17,,,,
6,ENV 425: Ecological Economics,3,17,ENV 107,ENV 172,ENV 260,
6,Science Elective Course 3 ,3,17,,,,
7,"ENV 409: Environmental Policy, Planning & Politics",3,17,,,,
7,ENV 418: Conservation & Sustainable Development,3,17,,,,
7,ENV 455: Research Methods,3,17,,,,
7,ENV 430: Environmental Laws and Regulations,3,17,,,,
7,Open Elective Course 1,3,17,,,,
7,Science Elective Course 4,,,,,,
8,ENV 419: Forest Management,3,17,,,,
8,ENV 498: Internship,3,17,,,,
8,Open Elective Course 2,3,17,,,,
8,Science Elective Course 5,3,17,,,,
