Shelf Location,Call Number Range,Subjects / Description,Floor
1A-1B,AC118.C53 - BF275.E44,"Psychology, Philosophy, Logic, Research Methods",3rd
1A-1B,BF293.T55 - BP161.3.M,"Psychology, Religion, Human Development, Behavioral Research",3rd
2A-2B,BP173.75 - CT34.I4A,"Islamic Studies, Islamic Economics, Religion, Civilization",3rd
2A-2B,CT34.14C46 - DR48.6.N,"Auto-Biography, World Battles, Biography, Global Politics, Historiography",3rd
3A-3B,DR583.L48 - DS394.7.P7,"Geography, SAARC, Auto-Biography, History of Bangladesh",3rd
3A-3B,DS394.7.R - DS395.7.H3,"Bangladesh, Auto-Biography",3rd
4A-4B,DS395.7.H3 - DS463.H37,"Biography, Geographical History, Archaeology of Bangladesh, Auto Biography",3rd
4A-4B,DS463.H37 - DS528.2.R6,"India, Individuals Biography, Sub-Continental History",3rd
5A-5B,D5530.4.55 - E628.L46,"World History of War (Chinese, Japanese, Vietnam, America, Korea, Africa, Rusia)",3rd
5A-5B,E331.A17 - GF105. E54,"World History of War , Geography, Environmental Science",3rd
6A-6B,GE105.G56 - GT2784.A2,"Environmental Science, Anthropology, Environmental Management, Folklore, ?????????? ???? ????????",3rd
6A-6B,GT2776.39 - HB139.J65,"Sports, Folklore, Financial Management, Social Science, Research Method, Econometrics",3rd
7A-7B,HB126.330 - HB171.B13,"Islamic Economic, Mathematical Economics, Economics of Bangladesh, Econometrics, Game Theory",3rd
7A-7B,HB171.B24 - HB171.5.M21,"Economics, Macro-Economics, Principles of economics/Macro-Economics",3rd
8A-8B,HB171.5.M2 - HB172.P2,"Economics, Principles of Economics, Micro-Economics",3rd
8A-8B,HB172.P24 - HB175.M23,Micro-Economics,3rd
9A-9B,HB175.M2 - HB846.8.S4,"Migration, Economics, Entrepreneurship, Capitalism, Economic Development, Public Economics",3rd
9A-9B,HB846.8.S4 - HC425.B4,"Demography, Economic System, Political Economy of Bangladesh, Global Economic History, Mixed Economics",3rd
10A-10B,HC125.337 - HC437.B41,"Mixed Economics, Capitalism, markets, World Economic History, China's Economy",3rd
10A-10B,HC437.R3 - HC440.8.Z9,"Developmental Studies, Bangladesh Economics, Development of Bangladesh",3rd
11A-11B,HC440.8.Z9 - HC79.E44E,"Development of Bangladesh, Poverty, World Economy, Economic Development",3rd
11A-11B,HC79.E44 - HD1537.B3F,"Bangladesh Environmental Issues, Environmental Economics, Sustainable Development, Mixed Economics, Agriculture Economics",3rd
12A-12B,PHD1537.B3 - HD30.215.11,"Agriculture, Management, Ecological Management, Industrial Organization, Corporate Governance, International Business, Statistics of Management",3rd
12A-12B,HD30.226 - HD30.28.T5,"Managerial Economics, Management Science, Strategic Management",3rd
13A-13B,HD30.28.T5 - HD4901.S7,"Strategic Management, Communication, Business Research methods, Organizational Behaviors, Labor Economics",3rd
13A-13B,HD4901.W2 - HD62.6.N31,"Leadership, Organizational Behaviors, Business Government, Risk Management, International Management, Entrepreneurship",3rd
14A-14B,HD62.7.H8 - HD9000.5.0,"Entrepreneurship, Strategic Management, Project Management, Development Studies, Economic Growth & Development, Labor Relations",3rd
14A-14B,HD9000.5.T8 - HF1379.R,"Global Food & Agriculture, Service Marketing, Global Economy, Business Statistics, International Tread & Economics, Global Business",3rd
15A-15B,HF1379.T7 - HF5415.M3,"International Trade & Economy, International Marketing, Business Ethics, import-Export, Industrial Organization, Marketing",3rd
15A-15B,HF5415.M8 - HF548.32,"Marketing Management, Service Marketing, MIS, Strategic Marketing, Consumer Behavior, Retail, E-Commerce, Business Computer System",3rd
16A-16B,HF5549.5.M6 - HF5635.15,"Organization, Training & Development, Accounting, Financial Accounting",3rd
16A-16B,HF5548.32 - HF5549.5.M,"MIS, E-Commerce, Excel, Human Resource Management, Compensation",3rd
17A-17B,HF5635.K5 - HF5667.R7,"Accounting, Intermediate Accounting, College Accounting, Strategic Management Accounting, Managerial Accounting, Auditing",3rd
17A-17B,HF5667.58 - HG181.K65,"Auditing, AIS, International Accounting, Cost Accounting, Business Mathematics, Business Communication, Advertising, Bank Management, Financial marketing, Finance",3rd
18A-18B,HG181.M5 - HG4026.F5,"Financial Markets, Monetary Economics, Finance, Banking, International Finance, Financial Management, Corporate Finance",3rd
18A-18B,HG4026.F6 - HM1033.15,"Financial Management, Corporate Finance, Investments, Risk Management, Public finance, Social Psychology",3rd
19A-19B,HM1101.R4 - HQ766.5.B,"Organization, Sociology, Criminology, Developmental Studies, Gender Studies",3rd
19A-19B,HQ766.5.E3 - JK2261.P2,"Child Development, Urbanization, Poverty, Natural Disaster, Political Science, Public Affairs, Govt. Service",3rd
20A-20B,JK2295.A1 - KD1439.S2,"Public Administration, Democracy, Bangladesh Political Aspect, Global Politics, Political Science, Law, International Law, Trade Law, Research Methods in Law",3rd
20A-20B,KD1480.M - KNG3794.3,"Contract Law, Commercial Law, Marine Law, Banking & Trade Law, Business Law, Legal Environment, TAX, Labor Law, Penal Code",3rd
21A-21B,KNG3791.3 - LB1572.P3,"Penal Code, Criminal Procedure, Banking Law, Criminology, Cyber Law, Mercantile Law, Commercial Law, International Law, Higher Education",3rd
21A-21B,LB1573.C18 - P121.W6,"Global Higher Education, Adult Education, Western Art & Music, Architecture Design, Linguistics",3rd
22A-22B,P123.C63 - PE1075.B3,"Applied Linguistic, Phonology, Language, Mass Media",3rd
22A-22B,PE1075.5 - PE1128.C67,"English Language, Business English, English Language Teaching, Vocabulary",3rd
23A-23B,PE1128.C6 - PK1718.B2,"English Grammar, Vocabulary, Academic Writing, Literature Theory, Bangali Language & Theory, Bangla Literature",3rd
23A-23B,PK1718.R1 - PK1718.08,"????? ?????, ???????, ???????",3rd
24A-24B,PK1718.R2 - PN1993.45,"????? ???????, ?????, ??????????? ?????, ???????, ?????????, English Fiction",3rd
24A-24B,PN1993.5 - PR297638,"English Literature & Theory, English Fiction, Drama, Poetry",3rd
25A-25B,PR2981.54 - PR9420.6.J,"English Literature, English Classical Novels, Poetry, 20th Century Poetry, Fiction, Literature Guide",3rd
25A-25B,PR9490.9 - PZ90.B4,"English Fiction, American Literature, Miscellaneous Writing",3rd
26A-26B,REF,"Encyclopedia, Religion, Psychology",4th & 5th
26A-26B,REF,"Dictionary, Biography, Russia, Britain, Ancient Greece, Law report, Economic Trend",4th & 5th
27A-27B,REF,"Economic Trend, Bangladesh Bank, Bank Statistics, Income Tax Manual",4th & 5th
27A-27B,REF,"Encyclopedia, South Asia, Bangladesh",4th & 5th
28A-28B,REF,"Bangladesh Gazette, Income Tax Manual, Banglapedia, Bangladesh-Cultural Survey",4th & 5th
28A-28B,REF,"History & Heritage-Sylhet, Sundarbans, Chittagong, Asia, Environmental History, Environment",4th & 5th
29A-29B,REF,"Encyclopedia-Social Sciences, Sports & Games, Statistics, Research Design",4th & 5th
29A-29B,REF,"Statistical Yearbook, Population Census-Bangladesh, Encyclopedia of Economics, Glossary of Islamic Economics",4th & 5th
30A-30B,REF,"Encyclopedia-Population Studies, Education & Traning, Asian Development-China, World Bank, Reports on Economic Activities",4th & 5th
30A-30B,REF,"Annual Development Program, Budget Report, Economic Census-District Report",4th & 5th
31A-31B,REF,"Accounting, Global Economy, World Development Report, Water Management Study, Census of Agriculture",4th & 5th
31A-31B,REF,"Business, Labor Survey, NGO, Land Report, Telephone Guide, Economic Evaluation",4th & 5th
32A-32B,REF,"Trade, Export Policy, Human Development Report, Banking Glossary",4th & 5th
32A-32B,REF,"World Bank, Annual Report, Budget, Statistics, Financial Statistics",4th & 5th
33A-33B,REF,"Gender Budget Report, Global Development Finance, Encyclopedia- Urban Studies, Political Science, Government, Census of Slum Areas",4th & 5th
33A-33B,REF,"Graduate Programs, Higher Education, Education Statistics, Biology, Islamic Art & Architecture, Linguistics, SAT, GRE, Oxford Dictionary, Thesaurus",4th & 5th
34A-34B,REF,"Encyclopedia- Literature, Science & Technology, Computer Science, Climate and Weather, Bioethics, Environmental Science, Public Health, Dictionary of American Literary Character",4th & 5th
