Bus Name,Routes
Achim Paribahan (আছিম পরিবহন),⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Bashundhara (বসুন্ধরা) ⇄ Nadda (নদ্দা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Bashtola (বাঁশতলা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Badda (বাড্ডা) ⇄ Madhya Badda (মধ্য বাড্ডা) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Rampura Bridge (রামপুরা ব্রিজ) ⇄ Banasree (বনশ্রী) ⇄ Demra Staff Quarter (ডেমরা স্টাফ কোয়ার্টার)⏰ Starting Time: 06:00 AM & Closing Time: 11:00 PM🚌 Seating Service Type: Semi-Seating Service 
Active Paribahan (এক্টিভ পরিবহন),⇄ Shia Masjid (শিয়া মসজিদ) ⇄ Adabor (আদাবর) ⇄ Shyamoli (শ্যামলী) ⇄ Technical (টেকনিক্যাল) ⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewrapara (শেওড়াপাড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (জসিমউদ্দিন) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:30 PM🚌 Seating Service Type: Semi-Seating Service 
Agradut (অগ্রদূত),⇄ Savar (সাভার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Amin Bazar (আমিন বাজার) ⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ Agargaon (আগারগাঁও) ⇄ Zia Uddyan (জিয়া উদ্যান) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Wireless (ওয়্যারলেস) ⇄ Golshan 1 (গুলশান ১) ⇄ Badda Link Road (বাড্ডা লিংক রোড) ⇄ Bashtola (বাঁশতলা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Uttar Badda (উত্তর বাড্ডা) ⇄ Notun Bazar (নতুন বাজার)⏰ Starting Time: 05:30 AM & Closing Time: 10:30 PM🚌 Seating Service Type: Semi-Seating Service 
Airport Bangabandhu Avenue Paribahan (এয়ারপোর্ট বঙ্গবন্ধু এভিনিউ পরিবহন),⇄ Fulbaria (ফুলবাড়িয়া) ⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Press Club (প্রেস ক্লাব) ⇄ High Court (উচ্চ আদালত) ⇄ Matsya Bhaban (মৎস্য ভবন) ⇄ Shahbag (শাহবাগ) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Farmgate (ফার্মগেট) ⇄ Bijoy Sarani (বিজয় সারাণী) ⇄ Jahangir Gate (জাহাঙ্গীর গেট) ⇄ Mohakhali (মহাখালী) ⇄ Chairman Bari (চেয়ারম্যান বাড়ী) ⇄ Sainik Club (সৈনিক ক্লাব) ⇄ Banani (বনানী) ⇄ Kakali (কাকলী) ⇄ Staff Road (স্টাফ রোড) ⇄ MES (এমইএস) ⇄ Kurmitola (কুর্মিটোলা) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Azmeri Glory Limited (আজমেরী গ্লোরী লিমিটেড),⇄ Sadarghat (সদরঘাট) ⇄ Ray Saheb Bazar (রায় সাহেব বাজার) ⇄ Naya Bazar (নয়া বাজার) ⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Kakrail (কাকরাইল) ⇄ Shantinagar (শান্তিনগর) ⇄ Malibagh (মালিবাগ) ⇄ Mouchak (মৌচাক) ⇄ Nabisco (নাবিস্কো) ⇄ Mohakhali (মহাখালী) ⇄ Sainik Club (সৈনিক ক্লাব) ⇄ Banani (বনানী) ⇄ Kakali (কাকলী) ⇄ Staff Road (স্টাফ রোড) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Tongi (টঙ্গী) ⇄ Station Road (স্টেশন রোড) ⇄ Mill Gate (মিল গেট) ⇄ Board Bazar (বোর্ড বাজার) ⇄ Gazipur Bypass (গাজীপুর বাইপাস) ⇄ Konabari (কোনাবাড়ি) ⇄ Chandra (চন্দ্রা)⏰ Starting Time: 06:00 AM & Closing Time: 12:00 PM🚌 Seating Service Type: Semi-Seating Service 
Ajmi (আজমী),⇄ Dhamrai (ধামরাই) ⇄ Savar (সাভার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Amin Bazar (আমিন বাজার) ⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Dhanmondi 27 (ধানমন্ডি ২৭) ⇄ Dhanmondi 32 (ধানমন্ডি ৩২) ⇄ Kalabagan (কলাবাগান) ⇄ City College (সিটি কলেজ) ⇄ New Market (নিউ মার্কেট) ⇄ Nilkhet (নীলক্ষেত) ⇄ Azimpur (আজিমপুর) ⇄ Bakshi Bazar (বকশী বাজার) ⇄ Gulistan (গুলিস্তান) ⇄ Chittagong Road (চট্টগ্রাম রোড)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Akash (আকাশ),⇄ Kadamtali (কদমতলী) ⇄ Keraniganj (কেরাণীগঞ্জ) ⇄ Babubazar (বাবুবাজার) ⇄ Naya Bazar (নয়া বাজার) ⇄ Golap Shah Mazar (গোলাপ শাহ মাজার) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Kakrail (কাকরাইল) ⇄ Shantinagar (শান্তিনগর) ⇄ Malibagh (মালিবাগ) ⇄ Mouchak (মৌচাক) ⇄ Malibagh Railgate (মালিবাগ রেলগেট) ⇄ Hazipara (হাজীপাড়া) ⇄ Rampura Bazar (রামপুরা বাজার) ⇄ Merul Badda (মেরুল বাড্ডা) ⇄ Badda (বাড্ডা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Bashtola (বাঁশতলা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Nadda (নদ্দা) ⇄ Bashundhara (বসুন্ধরা) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Khilkhet (খিলক্ষেত) ⇄ Airport (বিমানবন্দর) ⇄ Jashimuddin (Uttara) (জসিমউদ্দিন - উত্তরা) ⇄ Rajlakshmi (রাজলক্ষ্মী) ⇄ Azampur (আজমপুর) ⇄ House Building (হাউজ বিল্ডিং) ⇄ Abdullahpur (আব্দুল্লাহপুর) ⇄ Tongi (টঙ্গী)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Akik (আকিক),⇄ Ansar Camp (আনসার ক্যাম্প) ⇄ Mirpur 1 (মিরপুর ১) ⇄ Sony Cinema Hall (সনি সিনেমা হল) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 11 (মিরপুর ১১) ⇄ Purobi (পুরবী) ⇄ Kalshi (কালশী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ MES (এমইএস) ⇄ Shewra (শেওড়া) ⇄ Kuril Bishwa Road (কুড়িল বিশ্ব রোড) ⇄ Jamuna Future Park (যমুনা ফিউচার পার্ক) ⇄ Bashundhara (বসুন্ধরা) ⇄ Nadda (নদ্দা) ⇄ Notun Bazar (নতুন বাজার) ⇄ Bashtola (বাঁশতলা) ⇄ Shahjadpur (শাহজাদপুর) ⇄ Uttar Badda (উত্তর বাড্ডা)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Al Makka (আল মক্কা),⇄ Motijheel (মতিঝিল) ⇄ Gulistan (গুলিস্তান) ⇄ GPO (জিপিও) ⇄ Paltan (পল্টন) ⇄ Kakrail (কাকরাইল) ⇄ Shantinagar (শান্তিনগর) ⇄ Malibagh (মালিবাগ) ⇄ Mouchak (মৌচাক) ⇄ Mogbazar (মগবাজার) ⇄ Nabisco (নাবিস্কো) ⇄ Mohakhali (মহাখালী) ⇄ Chairman Bari (চেয়ারম্যান বাড়ী) ⇄ Kakali (কাকলী) ⇄ Banani (বনানী) ⇄ ECB Square (ইসিবি স্কয়ার) ⇄ Kalshi (কালশী) ⇄ Purobi (পুরবী) ⇄ Mirpur 10 (মিরপুর ১০) ⇄ Mirpur 2 (মিরপুর ২) ⇄ Mirpur 1 (মিরপুর ১)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
Al Madina Plus One (আল মনিদা প্লাস ওয়ান),⇄ Nandan Park (নন্দন পার্ক) ⇄ Zirani Bazar (জিরানী বাজার) ⇄ Baipayl (বাইপাইল) ⇄ Nobinagar (নবীনগর) ⇄ Savar (সাভার) ⇄ Hemayetpur (হেমায়েতপুর) ⇄ Amin Bazar (আমিন বাজার) ⇄ Gabtoli (গাবতলি) ⇄ Technical (টেকনিক্যাল) ⇄ Kallyanpur (কল্যাণপুর) ⇄ Shyamoli (শ্যামলী) ⇄ Shishu Mela (শিশু মেলা) ⇄ College Gate (কলেজ গেট) ⇄ Asad Gate (আসাদ গেট) ⇄ Khamar Bari (খামার বাড়ি) ⇄ Farmgate (ফার্মগেট) ⇄ Kawran Bazar (কাওরান বাজার) ⇄ Bangla Motor (বাংলা মোটর) ⇄ Shahbag (শাহবাগ) ⇄ High Court (উচ্চ আদালত) ⇄ Press Club (প্রেস ক্লাব) ⇄ Paltan (পল্টন) ⇄ GPO (জিপিও) ⇄ Gulistan (গুলিস্তান) ⇄ Motijheel (মতিঝিল) ⇄ Kamalapur (কমলাপুর)⏰ Starting Time: 06:00 AM & Closing Time: 10:00 PM🚌 Seating Service Type: Semi-Seating Service 
